Customer_ID,Name,Email,Phone,Country,Country_Code,validated_email
489f42c9-55f0-44d8-bb59-55c524accdc8,Jeff King,chaneyricky@example.com,2976896759,Tuvalu,+688,chaneyricky@example.com
dc1d043c-1085-4f95-aeef-7eb26647ca77,Christopher Anderson,brittany18@example.com,19385699876,Saint Pierre and Miquelon,NA,brittany18@example.com
9d32e2e9-9d94-422b-b6dc-730b2fa668fd,Kevin Alvarez,isaiah98@example.org,9296728348,Serbia,+381,isaiah98@example.org
5130890c-8225-4123-afba-4c9e967a4535,Crystal Rodriguez,NA,9007005604,Iceland,+354,NA
bab75d30-5312-40af-bd12-ed7bed445afa,Lucas Jordan,jamescummings@example.com,NA,Antigua and Barbuda,NA,jamescummings@example.com
8a8e0e43-2a68-4545-9e19-08f44a319476,Scott Guzman,dguerrero@example.net,7597911455,Fiji,+679,dguerrero@example.net
aeae7968-903a-4ede-ac45-0bc6826afbaa,Nichole Ball,oyoung@example.com,9376679379,Senegal,+221,oyoung@example.com
4dcdd84f-3ba7-48b4-9aea-50fb92be028f,Kim Hester,rowecatherine@example.org,18722962057,Senegal,+221,rowecatherine@example.org
ea0fc986-f19d-4eb6-9a00-7e1c1bc6025e,Deborah Melendez,hdudley@example.net,4856423345,Greece,+30,hdudley@example.net
6aa61ef6-8955-42a5-b028-def8cf8cb8ef,Tammy Brock,ortizsamantha@example.com,7822201744,Western Sahara,NA,ortizsamantha@example.com
d81fb3b9-223a-4a2f-883f-ed21ba7eec5c,Lauren Porter,jennifer62@example.net,15488487796,Comoros,+269,jennifer62@example.net
ef24853c-6ee0-4dd1-9c7c-edd767420a6c,Alan Burns,NA,NA,Central African Republic,+236,NA
a956e5f8-b764-439a-b921-53cc68af9d0d,Kenneth Parker,samuel13@example.net,3783231710,Wallis and Futuna,NA,samuel13@example.net
58432be5-350a-4ddb-9ab1-218e02c2f847,Brian Vega,lowerebecca@example.org,5359303711,Cyprus,+357,lowerebecca@example.org
3a7ca2df-0ed0-44a7-aba5-ac081a39d08f,Jonathan Stephens,carltorres@example.org,8209257970,Macao,NA,carltorres@example.org
2c3bd8c4-4a3e-4b37-8a48-2f5a1229ba43,Jay Alvarez,floreskathleen@example.com,8549106341,Myanmar,+95,floreskathleen@example.com
